city,neighborhood,neighborhood_is_generic,property_type,surface_m2,bedrooms,bathrooms,floor,price_dh,floor_known,surface_known,rooms_info_known,floor_appartement
Safi,autre_secteur,True,Appartement,64.0,2.0,1.0,4.0,4320000.0,1,1,1,4.0
Safi,plateau,False,Appartement,82.0,2.0,1.0,3.0,3750000.0,1,1,1,3.0
Safi,jerifat,False,Appartement,96.0,2.0,1.0,0.0,510000.0,1,1,1,0.0
Safi,azib_derai,False,Appartement,84.0,2.0,1.0,1.0,1540000.0,1,1,1,1.0
Safi,autre_secteur,True,Appartement,81.0,3.0,1.0,3.0,3590000.0,1,0,1,3.0
Safi,lamiaa,False,Appartement,60.0,2.0,1.0,3.0,3270000.0,1,1,1,3.0
Safi,autre_secteur,True,Appartement,81.0,3.0,1.0,2.0,2560000.0,1,0,1,2.0
Safi,plateau,False,Appartement,70.0,2.0,1.0,1.0,1700000.0,1,1,1,1.0
Safi,autre_secteur,True,Appartement,146.0,4.0,2.0,1.0,1460000.0,1,1,1,1.0
Safi,ville_nouvelle,False,Appartement,84.0,2.0,1.0,4.0,4800000.0,1,1,1,4.0
Safi,autre_secteur,True,Appartement,68.0,2.0,1.0,0.0,295000.0,1,1,1,0.0
Safi,autre_secteur,True,Appartement,60.0,2.0,0.0,4.0,4300000.0,1,1,1,4.0
Safi,autre_secteur,True,Appartement,100.0,2.0,1.0,3.0,3410000.0,1,1,1,3.0
Safi,azib_derai,False,Appartement,76.0,3.0,2.0,1.0,1460000.0,1,1,1,1.0
Safi,lamiaa,False,Appartement,66.0,2.0,0.0,3.0,3320000.0,1,1,1,3.0
Safi,zawiyat_sidi_wassel,False,Appartement,88.0,3.0,2.0,2.0,2900000.0,1,1,1,2.0
Safi,autre_secteur,True,Appartement,60.0,2.0,1.0,3.0,3270000.0,1,1,1,3.0
Safi,autre_secteur,True,Appartement,107.0,2.0,1.0,1.0,1520000.0,1,1,1,1.0
Safi,autre_secteur,True,Appartement,50.0,1.0,1.0,0.0,280000.0,1,1,1,0.0
Safi,autre_secteur,True,Appartement,64.0,2.0,1.0,4.0,4290000.0,1,1,1,4.0
Safi,ville_nouvelle,False,Appartement,98.0,3.0,2.0,4.0,4670000.0,1,1,1,4.0
Safi,azib_derai,False,Appartement,76.0,2.0,1.0,1.0,1460000.0,1,1,1,1.0
Safi,hay_essalam,False,Appartement,81.0,2.0,1.0,3.0,3340000.0,1,0,1,3.0
Safi,autre_secteur,True,Appartement,122.0,3.0,1.0,1.0,1650000.0,1,1,1,1.0
Safi,hay_essalam,False,Appartement,120.0,4.0,1.0,3.0,3590000.0,1,1,1,3.0
Safi,autre_secteur,True,Appartement,81.0,2.0,2.0,0.0,370000.0,1,0,1,0.0
Safi,ville_nouvelle,False,Appartement,95.0,2.0,1.0,0.0,650000.0,1,1,1,0.0
Safi,ijennane,False,Appartement,112.0,1.0,0.0,0.0,500000.0,1,1,1,0.0
Safi,autre_secteur,True,Appartement,65.0,3.0,2.0,4.0,4320000.0,1,1,1,4.0
Safi,ville_nouvelle,False,Appartement,86.0,3.0,2.0,2.0,2600000.0,1,1,1,2.0
Safi,el_massira,False,Appartement,120.0,3.0,2.0,4.0,4900000.0,1,1,1,4.0
Safi,bled_eljed,False,Appartement,120.0,2.0,2.0,1.0,1680000.0,1,1,1,1.0
Safi,autre_secteur,True,Appartement,85.0,2.0,1.0,unknown,450000.0,0,1,1,unknown
Safi,el_matar,False,Appartement,50.0,2.0,1.0,3.0,3230000.0,1,1,1,3.0
Safi,swinia,False,Appartement,90.0,2.0,1.0,0.0,500000.0,1,1,1,0.0
Safi,hay_essalam,False,Appartement,70.0,2.0,1.0,2.0,2420000.0,1,1,1,2.0
Safi,ville_nouvelle,False,Appartement,81.0,3.0,2.0,1.0,1540000.0,1,1,1,1.0
Safi,azib_derai,False,Appartement,81.0,3.0,1.0,1.0,1480000.0,1,0,1,1.0
Safi,ville_nouvelle,False,Appartement,113.0,2.0,2.0,0.0,790000.0,1,1,1,0.0
Safi,miftah_el_kheir,False,Appartement,130.0,4.0,2.0,1.0,1700000.0,1,1,1,1.0
Safi,el_massira,False,Appartement,81.0,2.0,1.0,3.0,3540000.0,1,0,1,3.0
Safi,ville_nouvelle,False,Appartement,120.0,3.0,2.0,2.0,2680000.0,1,1,1,2.0
Safi,hay_essalam,False,Appartement,108.0,2.0,1.0,1.0,1400000.0,1,1,1,1.0
Safi,autre_secteur,True,Appartement,103.0,3.0,2.0,3.0,3440000.0,1,1,1,3.0
Safi,autre_secteur,True,Appartement,54.0,2.0,2.0,0.0,300000.0,1,1,1,0.0
Safi,sidi_bouzid,False,Appartement,69.0,2.0,1.0,1.0,1290000.0,1,1,1,1.0
Safi,azib_derai,False,Appartement,102.0,3.0,1.0,2.0,2480000.0,1,1,1,2.0
Safi,autre_secteur,True,Appartement,120.0,3.0,1.0,3.0,3590000.0,1,1,1,3.0
Safi,azib_derai,False,Appartement,96.0,2.0,2.0,2.0,2420000.0,1,1,1,2.0
Safi,lamiaa,False,Appartement,120.0,3.0,1.0,2.0,2600000.0,1,1,1,2.0
Safi,lamiaa,False,Appartement,60.0,2.0,1.0,0.0,360000.0,1,1,1,0.0
Safi,sidi_abdelkrim,False,Appartement,62.0,1.0,1.0,3.0,3250000.0,1,1,1,3.0
Safi,miftah_el_kheir,False,Appartement,60.0,1.0,1.0,3.0,3250000.0,1,1,1,3.0
Safi,autre_secteur,True,Appartement,98.0,2.0,1.0,1.0,1750000.0,1,1,1,1.0
Safi,ville_nouvelle,False,Appartement,81.0,2.0,1.0,3.0,3560000.0,1,0,1,3.0
Safi,miftah_el_kheir,False,Appartement,68.0,2.0,1.0,3.0,3250000.0,1,1,1,3.0
Safi,el_massira,False,Appartement,80.0,2.0,1.0,2.0,2340000.0,1,1,1,2.0
Safi,sidi_abdelkrim,False,Appartement,120.0,2.0,1.0,1.0,1560000.0,1,1,1,1.0
Safi,miftah_el_kheir,False,Appartement,105.0,2.0,2.0,3.0,3650000.0,1,1,1,3.0
